127.0.0.1 - - [29/Dec/2014:20:33:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/slider/bg3.jpg HTTP/1.1" 200 211298
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/slider/bg1.jpg HTTP/1.1" 200 454028
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:47 +0530] "GET /BaitAlarms/theme/images/slider/bg2.jpg HTTP/1.1" 200 493929
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/index.jsp HTTP/1.1" 200 24237
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 200 97339
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 200 22089
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 200 61623
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 200 20344
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item3.png HTTP/1.1" 200 20284
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item2.png HTTP/1.1" 200 38788
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/portfolio/recent/item1.png HTTP/1.1" 200 43293
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 200 27726
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/ico/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/slider/bg1.jpg HTTP/1.1" 200 454028
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/slider/bg3.jpg HTTP/1.1" 200 211298
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/images/slider/bg2.jpg HTTP/1.1" 200 493929
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:33:54 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:00 +0530] "GET /BaitAlarms/theme/about-us.html HTTP/1.1" 200 15421
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:01 +0530] "GET /BaitAlarms/theme/images/team-member.jpg HTTP/1.1" 200 28790
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:24 +0530] "GET /BaitAlarms/theme/services.html HTTP/1.1" 200 14842
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/portfolio.html HTTP/1.1" 200 13046
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item1.jpg HTTP/1.1" 200 25663
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item2.jpg HTTP/1.1" 200 16391
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item3.jpg HTTP/1.1" 200 21275
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item4.jpg HTTP/1.1" 200 9196
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item5.jpg HTTP/1.1" 200 12559
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/images/portfolio/thumb/item6.jpg HTTP/1.1" 200 21054
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:27 +0530] "GET /BaitAlarms/theme/js/jquery.isotope.min.js HTTP/1.1" 200 16033
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:29 +0530] "GET /BaitAlarms/theme/career.html HTTP/1.1" 200 17507
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:31 +0530] "GET /BaitAlarms/theme/pricing.html HTTP/1.1" 200 14928
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:37 +0530] "GET /BaitAlarms/theme/404.html HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:40 +0530] "GET /BaitAlarms/theme/registration.html HTTP/1.1" 200 10368
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:34:45 +0530] "GET /BaitAlarms/theme/registration.html?username=&email=&password=&password_confirm= HTTP/1.1" 200 10368
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:35:17 +0530] "GET /BaitAlarms/theme/index.html HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:54:54 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 24191
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 14703
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/slider/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/slider/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:15 +0530] "GET /BaitAlarms/theme/images/slider/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 14703
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/slider/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/slider/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:55:27 +0530] "GET /BaitAlarms/theme/images/slider/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 10756
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:56:05 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/images/blog/thumb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/images/blog/thumb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/images/blog/thumb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:18 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:40 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:41 +0530] "GET /BaitAlarms/theme/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:42 +0530] "GET /BaitAlarms/theme/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:42 +0530] "GET /BaitAlarms/theme/user_registration.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:42 +0530] "GET /BaitAlarms/theme/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:42 +0530] "GET /BaitAlarms/theme/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2014:20:58:42 +0530] "GET /BaitAlarms/theme/css/prettyPhoto.css HTTP/1.1" 304 -
